id,country
ZDB-LAB-160517-1,US
ZDB-LAB-160630-2,US
ZDB-LAB-160818-1,US
ZDB-LAB-161220-1,US
ZDB-LAB-170111-2,US
ZDB-LAB-170207-4,US
ZDB-LAB-170208-2,US
ZDB-LAB-970408-1,US
ZDB-LAB-970408-42,US
ZDB-LAB-970408-96,US
ZDB-LAB-970409-29,US
ZDB-LAB-970409-42,US
ZDB-LAB-970410-1,US
ZDB-LAB-970410-25,US
ZDB-LAB-970415-11,US
ZDB-LAB-970415-27,US
ZDB-LAB-970416-21,US
ZDB-LAB-970417-32,US
ZDB-LAB-970424-118,US
ZDB-LAB-970424-67,US
ZDB-LAB-970424-95,US
ZDB-LAB-970429-64,US
ZDB-LAB-970430-8,US
ZDB-LAB-970502-55,US
ZDB-LAB-970505-58,US
ZDB-LAB-970512-1,US
ZDB-LAB-970512-38,US
ZDB-LAB-970730-60,US
ZDB-LAB-970807-17,US
ZDB-LAB-970908-15,US
ZDB-LAB-970908-47,US
ZDB-LAB-970908-94,US
ZDB-LAB-970909-135,US
ZDB-LAB-970909-44,US
ZDB-LAB-970922-1,US
ZDB-LAB-971016-2,US
ZDB-LAB-980202-1,US
ZDB-LAB-980202-4,US
ZDB-LAB-980203-1839,US
ZDB-LAB-980203-1848,US
ZDB-LAB-980204-39,US
ZDB-LAB-980205-5,US
ZDB-LAB-980213-11,US
ZDB-LAB-980227-18,US
ZDB-LAB-980303-1,US
ZDB-LAB-980313-4,US
ZDB-LAB-980521-2,US
ZDB-LAB-981125-13,US
ZDB-LAB-990226-1,US
ZDB-LAB-990405-3,US
ZDB-LAB-990802-54,US
ZDB-LAB-990930-6,US
ZDB-LAB-000114-8,US
ZDB-LAB-000207-1,US
ZDB-LAB-000222-7,US
ZDB-LAB-000330-1,US
ZDB-LAB-000411-2,US
ZDB-LAB-000515-1,US
ZDB-LAB-000914-1,US
ZDB-LAB-001018-2,US
ZDB-LAB-010202-1,US
ZDB-LAB-010227-1,US
ZDB-LAB-010308-5,US
ZDB-LAB-010404-1,US
ZDB-LAB-011010-3,US
ZDB-LAB-011217-1,US
ZDB-LAB-020408-1,US
ZDB-LAB-020619-2,US
ZDB-LAB-020724-1,US
ZDB-LAB-020725-2,US
ZDB-LAB-021004-1,US
ZDB-LAB-021218-1,US
ZDB-LAB-030122-1,US
ZDB-LAB-030128-3,US
ZDB-LAB-030429-1,US
ZDB-LAB-030703-2,US
ZDB-LAB-030714-3,US
ZDB-LAB-030909-2,US
ZDB-LAB-031030-3,US
ZDB-LAB-040114-1,US
ZDB-LAB-040720-2,US
ZDB-LAB-040810-3,US
ZDB-LAB-040813-1,US
ZDB-LAB-041123-1,US
ZDB-LAB-041207-2,US
ZDB-LAB-050215-1,US
ZDB-LAB-050425-2,US
ZDB-LAB-050523-1,US
ZDB-LAB-050811-1,US
ZDB-LAB-050910-1,US
ZDB-LAB-050930-1,US
ZDB-LAB-051021-1,US
ZDB-LAB-051118-1,US
ZDB-LAB-060201-1,US
ZDB-LAB-060214-1,US
ZDB-LAB-060228-1,US
ZDB-LAB-060511-1,US
ZDB-LAB-060628-1,US
ZDB-LAB-060630-1,US
ZDB-LAB-060809-1,US
ZDB-LAB-060824-1,US
ZDB-LAB-061030-1,US
ZDB-LAB-061120-1,US
ZDB-LAB-070129-1,US
ZDB-LAB-070206-1,US
