genox_zdb_id,genox_exp_zdb_id,genox_is_standard,genox_is_std_or_generic_control,genox_fish_zdb_id
ZDB-GENOX-170518-36,ZDB-EXP-041102-1,t,t,ZDB-FISH-170518-29
ZDB-GENOX-170518-4,ZDB-EXP-070511-5,t,t,ZDB-FISH-170518-2
ZDB-GENOX-170518-5,ZDB-EXP-070511-5,t,t,ZDB-FISH-170518-3
ZDB-GENOX-170518-6,ZDB-EXP-041102-1,t,t,ZDB-FISH-170518-4
ZDB-GENOX-170518-7,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-28250
ZDB-GENOX-170518-8,ZDB-EXP-041102-1,t,t,ZDB-FISH-170518-6
ZDB-GENOX-170518-9,ZDB-EXP-041102-1,t,t,ZDB-FISH-170518-9
ZDB-GENOX-170519-1,ZDB-EXP-041102-1,t,t,ZDB-FISH-170518-21
ZDB-GENOX-170519-10,ZDB-EXP-170518-4,f,f,ZDB-FISH-150901-212
ZDB-GENOX-170519-11,ZDB-EXP-170518-4,f,f,ZDB-FISH-170519-4
ZDB-GENOX-170519-12,ZDB-EXP-041102-1,t,t,ZDB-FISH-170518-28
ZDB-GENOX-170519-13,ZDB-EXP-041102-1,t,t,ZDB-FISH-170518-18
ZDB-GENOX-170519-14,ZDB-EXP-041102-1,t,t,ZDB-FISH-170518-19
ZDB-GENOX-170519-15,ZDB-EXP-170519-2,f,f,ZDB-FISH-170518-29
ZDB-GENOX-170519-2,ZDB-EXP-041102-1,t,t,ZDB-FISH-170518-23
ZDB-GENOX-170519-3,ZDB-EXP-041102-1,t,t,ZDB-FISH-170518-20
ZDB-GENOX-170519-4,ZDB-EXP-170519-1,f,f,ZDB-FISH-170519-1
ZDB-GENOX-170519-5,ZDB-EXP-170519-1,f,f,ZDB-FISH-150901-5789
ZDB-GENOX-170519-6,ZDB-EXP-041102-1,t,t,ZDB-FISH-170518-22
ZDB-GENOX-170519-7,ZDB-EXP-041102-1,t,t,ZDB-FISH-170518-24
ZDB-GENOX-170519-8,ZDB-EXP-041102-1,t,t,ZDB-FISH-170518-25
ZDB-GENOX-170519-9,ZDB-EXP-041102-1,t,t,ZDB-FISH-170518-5
ZDB-GENOX-170522-1,ZDB-EXP-041102-1,t,t,ZDB-FISH-170522-1
ZDB-GENOX-170522-2,ZDB-EXP-041102-1,t,t,ZDB-FISH-170522-2
ZDB-GENOX-170522-3,ZDB-EXP-170522-1,f,f,ZDB-FISH-150901-29105
ZDB-GENOX-170522-4,ZDB-EXP-170522-1,f,f,ZDB-FISH-150901-23209
ZDB-GENOX-170522-5,ZDB-EXP-070511-5,t,t,ZDB-FISH-150901-14828
ZDB-GENOX-170522-6,ZDB-EXP-170522-2,f,f,ZDB-FISH-150901-29105
ZDB-GENOX-170522-7,ZDB-EXP-070511-5,t,t,ZDB-FISH-170522-3
ZDB-GENOX-170522-8,ZDB-EXP-170522-6,f,f,ZDB-FISH-150901-29105
ZDB-GENOX-170523-1,ZDB-EXP-170522-6,f,f,ZDB-FISH-170522-3
ZDB-GENOX-170523-10,ZDB-EXP-041102-1,t,t,ZDB-FISH-170523-5
ZDB-GENOX-170523-11,ZDB-EXP-170523-1,f,f,ZDB-FISH-150901-20498
ZDB-GENOX-170523-12,ZDB-EXP-170523-1,f,f,ZDB-FISH-170523-6
ZDB-GENOX-170523-13,ZDB-EXP-170523-1,f,f,ZDB-FISH-170523-7
ZDB-GENOX-170523-14,ZDB-EXP-070511-5,t,t,ZDB-FISH-170523-8
ZDB-GENOX-170523-15,ZDB-EXP-170523-3,f,f,ZDB-FISH-150901-4057
ZDB-GENOX-170523-16,ZDB-EXP-170523-3,f,f,ZDB-FISH-150901-29105
ZDB-GENOX-170523-17,ZDB-EXP-070511-5,t,t,ZDB-FISH-150901-8023
ZDB-GENOX-170523-18,ZDB-EXP-070511-5,t,t,ZDB-FISH-170523-9
ZDB-GENOX-170523-19,ZDB-EXP-070511-5,t,t,ZDB-FISH-170523-10
ZDB-GENOX-170523-2,ZDB-EXP-070511-5,t,t,ZDB-FISH-170523-3
ZDB-GENOX-170523-20,ZDB-EXP-170428-8,f,f,ZDB-FISH-150901-29105
