alleleid,ensdarg1,ensdarg2
sa41592,ENSDARG00000088503,ENSDARG00000088503
sa37615,ENSDARG00000033393,ENSDARG00000033393
sa32807,ENSDARG00000076795,
sa31101,ENSDARG00000057582,ENSDARG00000057582
sa34204,ENSDARG00000090275,
sa39190,ENSDARG00000012482,
sa33256,ENSDARG00000037882,
sa39992,ENSDARG00000077651,
sa39511,ENSDARG00000059032,ENSDARG00000107066
sa44396,ENSDARG00000079561,ENSDARG00000101888
sa38173,ENSDARG00000075552,ENSDARG00000100674
sa27599,ENSDARG00000086969,ENSDARG00000086969
sa24763,ENSDARG00000037926,ENSDARG00000102191
sa39572,ENSDARG00000056677,ENSDARG00000056677
sa24747,ENSDARG00000087824,ENSDARG00000102596
sa36746,ENSDARG00000075152,ENSDARG00000099747
sa38192,ENSDARG00000074416,
sa8950,ENSDARG00000088874,ENSDARG00000105889
sa24063,ENSDARG00000088660,
sa32560,ENSDARG00000091755,ENSDARG00000102982
sa34896,ENSDARG00000074139,
sa43742,ENSDARG00000060458,ENSDARG00000103139
sa39967,ENSDARG00000088820,ENSDARG00000088820
sa21987,ENSDARG00000086609,
sa37937,ENSDARG00000086681,
sa43904,ENSDARG00000091008,
sa39240,ENSDARG00000035994,
sa34260,ENSDARG00000073995,ENSDARG00000073995
sa24798,ENSDARG00000086594,
sa36551,ENSDARG00000078528,
sa41345,ENSDARG00000061709,
sa41346,ENSDARG00000086172,ENSDARG00000086172
sa33538,ENSDARG00000079757,
sa38170,ENSDARG00000087183,
sa39755,ENSDARG00000091745,ENSDARG00000011884
sa31715,ENSDARG00000044355,ENSDARG00000044355
sa19473,ENSDARG00000070281,
sa23416,ENSDARG00000057593,
sa33348,ENSDARG00000079482,ENSDARG00000079482
sa31244,ENSDARG00000095531,ENSDARG00000098993
sa8628,ENSDARG00000087888,
sa38199,ENSDARG00000086202,ENSDARG00000101657
sa42458,ENSDARG00000090943,ENSDARG00000090943
sa45239,,ENSDARG00000003803
sa34222,ENSDARG00000038872,ENSDARG00000101373
sa35662,ENSDARG00000036829,
sa38188,ENSDARG00000091328,
sa34771,ENSDARG00000068280,ENSDARG00000068280
sa33981,ENSDARG00000014169,ENSDARG00000014169
sa39512,ENSDARG00000088779,
sa20559,ENSDARG00000079413,ENSDARG00000104980
sa42311,ENSDARG00000059269,ENSDARG00000100783
sa38161,ENSDARG00000090070,
sa39510,ENSDARG00000059032,
sa45118,,ENSDARG00000090361
sa36023,ENSDARG00000077715,ENSDARG00000077715
sa38648,ENSDARG00000051780,ENSDARG00000100428
sa19982,ENSDARG00000031534,ENSDARG00000031534
sa35028,ENSDARG00000087133,ENSDARG00000087133
sa39488,ENSDARG00000041023,
sa19663,ENSDARG00000011884,ENSDARG00000011884
sa26816,ENSDARG00000019405,ENSDARG00000104277
sa20851,ENSDARG00000094184,
sa8551,ENSDARG00000087888,
sa42818,ENSDARG00000074025,
sa38500,ENSDARG00000078680,
sa34800,ENSDARG00000078438,
sa32709,ENSDARG00000087826,
sa39520,ENSDARG00000090576,ENSDARG00000098966
sa24793,ENSDARG00000079184,ENSDARG00000098215
sa39724,ENSDARG00000034098,
sa19167,ENSDARG00000078023,ENSDARG00000105945
sa32189,ENSDARG00000040406,
sa22835,ENSDARG00000055446,ENSDARG00000055446
sa32632,ENSDARG00000089762,
sa22857,ENSDARG00000090913,ENSDARG00000108060
sa32501,ENSDARG00000092902,ENSDARG00000103837
sa33064,ENSDARG00000089006,
sa8928,ENSDARG00000071636,ENSDARG00000071636
sa37205,ENSDARG00000044850,ENSDARG00000100324
sa30753,ENSDARG00000074416,
sa39424,ENSDARG00000074020,
